TripID	StartLongitude	StartLatitude	Start	EndLongitude	EndLatitude	End
BLQR01-1g5s3i,-80.20543,25.75693,2013-05-17 20:18:12,-80.2055,25.7569,2013-05-17 20:41:41
BJPI67-6u0j7k,-80.19491,25.81945,2013-05-17 20:22:11,-80.1943,25.78484,2013-05-17 20:55:41
BGDN99-6q2o8a,-80.25412,25.78001,2013-05-17 20:22:11,-80.22482,25.77097,2013-05-17 20:32:41
BDNF12-5c3k0t,-80.19971,25.80075,2013-05-17 20:23:10,-80.19101,25.78491,2013-05-17 20:34:41
BGDN88-5t2w7t,-80.19886,25.7961,2013-05-17 20:24:40,-80.19886,25.7961,2013-05-17 20:56:40
BJPI54-3u7u3y,-80.19712,25.82637,2013-05-17 20:25:41,-80.19713,25.82633,2013-05-17 23:14:41
BKMB28-0z6z5j,-80.25273,25.73205,2013-05-17 20:28:41,-80.25273,25.73205,2013-05-17 20:36:11
579TAI-3o6n4m,-80.19301,25.7636,2013-05-17 20:28:41,-80.13321,25.77506,2013-05-17 20:54:11
BJPI55-5i1k7r,-80.13881,25.79136,2013-05-17 20:30:11,-80.18961,25.78244,2013-05-17 20:49:11
BELV90-5v4d6m,-80.21478,25.76578,2013-05-17 20:31:41,-80.21742,25.76354,2013-05-17 20:35:41
BKLJ99-0m8e3n,-80.18342,25.83728,2013-05-17 20:33:41,-80.19952,25.81892,2013-05-18 07:35:10
BELV97-4y1q6f,-80.24378,25.72811,2013-05-17 20:33:41,-80.25371,25.73384,2013-05-17 20:39:40
BKLJ79-7n7w5d,-80.19307,25.80822,2013-05-17 20:34:41,-80.13881,25.79136,2013-05-17 20:49:41
BKLJ85-4p7f8w,-80.19219,25.7659,2013-05-17 20:35:41,-80.23805,25.74299,2013-05-17 20:54:41
BKMB45-0n8d0u,-80.23169,25.75814,2013-05-17 20:37:41,-80.23657,25.75825,2013-05-17 20:52:41
BELV97-7e4j1u,-80.25371,25.73384,2013-05-17 20:40:11,-80.25371,25.73384,2013-05-17 20:40:41
BJPI47-1d8r0n,-80.19744,25.80147,2013-05-17 20:43:10,-80.18863,25.81339,2013-05-17 20:49:11
BGDK21-2w1l1t,-80.18679,25.79229,2013-05-17 20:43:10,-80.18402,25.8472,2013-05-17 20:55:41
BKMB41-2h0s2h,-80.19167,25.77338,2013-05-17 20:44:10,-80.1952,25.76392,2013-05-17 20:52:10
BKLJ85-7q4v5z,-80.23805,25.74299,2013-05-17 20:55:10,-80.23805,25.74299,2013-05-17 20:55:41
BJPI55-1i4b3t,-80.18961,25.78244,2013-05-17 20:56:40,-80.19327,25.7875,2013-05-17 21:09:11
BJPI25-6l8e4j,-80.13321,25.77506,2013-05-17 21:05:11,-80.18865,25.80523,2013-05-17 21:19:11
BDNF76-1y3v2y,-80.18773,25.7925,2013-05-17 21:06:41,-80.25313,25.7195,2013-05-31 02:50:51
BGDK01-3k5c5o,-80.18798,25.78908,2013-05-17 21:07:41,-80.13881,25.79136,2013-05-17 21:29:40
BELV90-1c7v7n,-80.21742,25.76354,2013-05-17 21:07:41,-80.15639,25.85042,2013-05-17 22:32:11
BGDK04-2i4f4n,-80.19227,25.81014,2013-05-17 21:11:41,-80.14771,25.84542,2013-05-17 21:29:40
BGDN88-5c7d3m,-80.19886,25.7961,2013-05-17 21:17:41,-80.19403,25.7684,2013-05-17 21:46:41
BDNF11-6d4h5b,-80.19009,25.76384,2013-05-17 21:18:11,-80.22831,25.76972,2013-05-17 21:30:11
BDNF19-7e0d6j,-80.20741,25.7539,2013-05-17 21:18:11,-80.21546,25.76552,2013-05-20 08:48:11
362YLN-4w0a5a,-80.18832,25.79259,2013-05-17 21:19:41,-80.19409,25.7819,2013-05-17 21:27:41
BKMB41-8r5l8e,-80.1952,25.76392,2013-05-17 21:22:10,-80.23704,25.74337,2013-05-17 21:31:11
BKMB19-0a7f6l,-80.18917,25.81954,2013-05-17 21:23:11,-80.18917,25.81954,2013-05-17 21:23:40
BGDN92-0m5j1s,-80.2493,25.73178,2013-05-17 21:23:11,-80.2493,25.73178,2013-05-17 21:23:40
BKMB42-7o1h6u,-80.18858,25.77464,2013-05-17 21:23:40,-80.19577,25.78321,2013-05-17 21:34:41
BKMB19-3w4d4u,-80.18917,25.81954,2013-05-17 21:24:11,-80.18712,25.80505,2013-05-17 21:33:41
BGDN92-8r5v7m,-80.2493,25.73178,2013-05-17 21:24:11,-80.22923,25.79918,2013-05-17 22:11:10
BDNF76-4e0k5i,-80.18768,25.79253,2013-05-17 21:26:11,-80.1942,25.76345,2013-05-17 21:46:41
365TAK-6x2t5w,-80.13321,25.77506,2013-05-17 21:29:11,-80.13321,25.77506,2013-05-17 21:29:40
BJPI51-7s2t7w,-80.19032,25.77509,2013-05-17 21:30:11,-80.13321,25.77506,2013-05-17 22:10:11
365TAK-3i5r7x,-80.13321,25.77506,2013-05-17 21:34:41,-80.13321,25.77506,2013-05-17 21:35:11
BKMB42-6n5q1j,-80.19577,25.78321,2013-05-17 21:35:11,-80.19577,25.78321,2013-05-17 21:35:40
365TAK-7u6j8g,-80.13321,25.77506,2013-05-17 21:35:40,-80.18699,25.77299,2013-05-17 22:46:41
