step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
23	1214	1932	302	912	3.1828665733337402	302,185,135,117,115,107,71,48,44,34,11,27,5,7,5,1,	31.0	0.4673172836681896	463	2.6220303	84	5	2.6220303	493	2.4624746	30	723	1	7610	3.2417989	0.957601408553336	0.9241946148339594	1	0.9241946148339594,
24	1215	1944	307	908	3.200000047683716	307,178,129,131,103,109,83,43,36,38,13,20,12,6,4,3,	17.0	0.4755373022039687	465	2.612903	45	64	2.612903	496	2.449597	25	723	1	7910	3.1233044	0.9639097402157556	0.9229699592711155	1	0.9229699592711155,
25	1222	1977	298	924	3.2356791496276855	298,188,125,135,111,99,94,42,36,31,16,19,8,5,8,7,	13.0	0.47566763115044597	461	2.6507592	41	86	2.6507592	496	2.4637096	22	723	1	8168	3.0561569	0.9672027507023762	0.9114764147841818	1	0.9114764147841818,
26	1224	1972	297	927	3.222222328186035	297,193,117,134,111,117,87,46,34,25,15,21,7,7,6,7,	13.0	0.47372111820641194	460	2.6608696	41	86	2.6608696	498	2.4578314	20	723	1	8680	2.9664843	0.9663925792741401	0.9142670305164817	1	0.9142670305164817,
27	1228	2002	288	940	3.2605862617492676	288,198,125,122,115,124,81,49,39,26,13,20,8,5,5,6,4,	17.0	0.4761643396415381	452	2.716814	41	1	2.716814	496	2.4758065	19	2556	1	8726	2.9650183	0.9664476382758125	0.9107574493438646	1	0.9107574493438646,
28	1237	2029	291	946	3.280517339706421	291,195,132,111,128,120,85,54,27,30,13,22,7,8,1,5,5,3,	18.0	0.47649292430903545	456	2.7127192	47	12	2.7127192	503	2.4592445	20	2556	1	9232	2.9010627	0.9672460024567359	0.8977830331557615	1	0.8977830331557615,
29	1240	2042	281	959	3.293548345565796	281,200,132,119,124,128,80,49,38,25,11,24,9,7,1,6,4,2,	22.0	0.4707463943920302	444	2.7927928	48	12	2.7927928	492	2.5203252	20	2556	1	9540	2.9904113	0.9656517730979507	0.9057162467708016	1	0.9057162467708016,
30	1240	2037	286	954	3.2854838371276855	286,208,119,119,135,114,83,48,40,19,13,26,10,5,3,2,7,3,	18.0	0.46059266950633165	449	2.7616928	48	12	2.7616928	491	2.5254583	20	2556	1	9873	3.0359855	0.9646305257498179	0.9097420595758047	1	0.9097420595758047,
31	1245	2070	294	951	3.325301170349121	294,195,130,108,140,110,89,55,35,16,13,24,12,8,1,2,2,8,3,	18.0	0.47074077837011935	455	2.7362638	49	60	2.7362638	501	2.48503	21	2556	1	9994	3.0295668	0.9612691077971506	0.9028419566384289	1	0.9028419566384289,
32	1248	2053	294	954	3.2900640964508057	294,198,131,111,141,113,83,58,33,16,10,27,8,9,2,2,3,6,3,	22.0	0.4750760569977197	459	2.7189543	64	13	2.7189543	499	2.501002	22	2556	1	10205	3.0983703	0.9598299709429317	0.9182199003561021	1	0.9182199003561021,
33	1252	2066	293	959	3.3003194332122803	293,205,132,115,129,113,85,58,33,17,9,23,16,6,3,1,6,6,2,	21.0	0.4656357683901846	459	2.7276688	64	13	2.7276688	497	2.5191147	22	2556	1	10561	3.1167047	0.9623203875215631	0.9213590665820738	1	0.9213590665820738,
34	1254	2081	285	969	3.318979263305664	285,216,131,112,126,122,84,53,34,22,4,21,19,7,2,1,6,3,5,1,	22.0	0.4665910850941653	456	2.75	51	12	2.75	491	2.5539715	24	2556	1	10905	3.2050087	0.9656374774538458	0.9229900006026933	1	0.9229900006026933,
35	1264	2121	288	976	3.3560125827789307	288,216,124,118,131,118,78,59,38,21,7,19,22,8,1,1,6,2,3,4,	22.0	0.4681716716123303	459	2.7538126	51	12	2.7538126	495	2.5535355	25	2556	1	11297	3.2687736	0.9655333688551759	0.9180290225425881	1	0.9180290225425881,
36	1267	2145	283	984	3.385951042175293	283,212,130,115,136,122,69,69,35,22,8,19,20,10,1,1,6,3,5,1,	20.0	0.4807568624200515	457	2.772429	50	12	2.772429	490	2.5857143	25	2556	1	11425	3.3368795	0.9675235409501148	0.9145762085622224	1	0.9145762085622224,
37	1269	2144	281	988	3.3790385723114014	281,207,136,126,131,128,65,64,35,21,8,18,23,6,4,3,4,4,0,5,	17.0	0.4809133394126331	452	2.807522	37	33	2.807522	485	2.616495	28	2556	1	11671	3.4216943	0.9673981712241048	0.918457683887003	1	0.918457683887003,
38	1275	2158	290	985	3.3850979804992676	290,199,133,134,134,103,90,61,27,29,9,18,21,7,7,0,4,5,0,4,	19.0	0.48066195409101964	458	2.7838428	47	13	2.7838428	497	2.5653923	29	2556	1	12080	3.3142302	0.9673147569961889	0.9062200180203244	1	0.9062200180203244,
39	1279	2179	290	989	3.4073495864868164	290,201,130,143,127,101,89,64,23,33,10,23,17,8,4,1,5,4,4,0,2,	16.0	0.48495526259470795	460	2.7804348	38	35	2.7804348	494	2.589069	31	2556	1	12428	3.3768034	0.9691070485701335	0.9143085537803896	1	0.9143085537803896,
40	1281	2209	288	993	3.4488680362701416	288,202,133,138,115,116,87,58,28,31,16,26,14,6,4,5,5,2,5,2,	16.0	0.4836912260440942	456	2.8092105	39	2	2.8092105	493	2.5983772	31	2556	1	12735	3.3581834	0.9684001884549437	0.9109636470088935	1	0.9109636470088935,
41	1279	2209	291	988	3.454261064529419	291,192,148,126,121,113,76,69,28,30,14,28,14,7,1,6,3,5,7,	19.0	0.4850152663057967	458	2.7925763	44	5	2.7925763	487	2.6262834	33	2556	1	12925	3.4210627	0.9663959590801137	0.9279744925949063	1	0.9279744925949063,
42	1283	2225	285	998	3.468433380126953	285,201,148,124,119,109,82,70,26,36,11,26,16,9,4,3,5,2,7,	19.0	0.4803016704740604	453	2.8322296	48	13	2.8322296	492	2.6077235	33	2556	1	13166	3.3246872	0.9627531877288211	0.911926069940663	1	0.911926069940663,
43	1288	2260	284	1004	3.5093166828155518	284,198,149,125,118,105,88,74,26,36,14,21,18,8,6,4,5,4,4,1,	27.0	0.4813320966291709	451	2.8558757	79	14	2.8558757	491	2.6232178	33	2556	1	13652	3.3083985	0.95473098911426	0.9170862048711715	1	0.9170862048711715,
44	1292	2276	280	1012	3.5232198238372803	280,205,142,127,118,119,83,68,29,31,17,22,17,11,6,5,2,4,2,4,	33.0	0.48152676753994506	449	2.8775055	96	5	2.8775055	488	2.647541	35	2556	1	13963	3.4053278	0.9543054135612401	0.9208987300817587	1	0.9208987300817587,
45	1295	2286	283	1012	3.5305018424987793	283,204,142,128,120,118,75,73,35,25,18,23,16,4,12,7,3,2,3,2,2,	30.0	0.4843549303124716	453	2.8587196	96	5	2.8587196	488	2.6536884	35	2556	1	14175	3.4296908	0.9555022813749342	0.9226330304512471	1	0.9226330304512471,
46	1302	2327	290	1012	3.574500799179077	290,200,143,117,127,125,69,71,38,27,22,22,11,8,11,1,6,4,2,3,3,2,	32.0	0.4936632229440865	463	2.812095	96	5	2.812095	505	2.5782177	36	2556	1	14501	3.3733199	0.9548812182024887	0.9045461168558244	1	0.9045461168558244,
47	1303	2330	291	1012	3.576362133026123	291,196,145,122,133,114,78,63,31,33,23,23,6,15,8,3,2,7,3,1,5,1,	34.0	0.4981809617102896	464	2.8081896	100	5	2.8081896	497	2.6217303	37	2556	1	14663	3.431027	0.9536495422645489	0.9296270883604415	1	0.9296270883604415,
48	1305	2361	293	1012	3.6183907985687256	293,192,144,134,113,133,65,66,31,35,23,24,3,15,9,5,2,2,5,3,2,3,3,	22.0	0.4965006835934906	462	2.8246753	75	15	2.8246753	498	2.620482	37	2556	1	15149	3.445252	0.9563493024531619	0.9208011164050313	1	0.9208011164050313,
49	1316	2405	297	1019	3.655015230178833	297,191,153,116,108,138,76,68,37,31,24,21,6,15,7,5,5,6,2,3,2,0,5,	16.0	0.49423510664964965	465	2.8301075	47	2	2.8301075	505	2.6059406	38	2556	1	15231	3.4967623	0.961119289767936	0.9096210683736664	1	0.9096210683736664,
50	1321	2442	295	1026	3.6971991062164307	295,196,144,125,94,136,93,68,33,31,25,25,5,17,7,3,7,5,3,0,2,2,5,	25.0	0.48756131963466265	461	2.8655097	76	15	2.8655097	506	2.610672	41	2556	1	15806	3.5916026	0.957145664762371	0.9128970661525938	1	0.9128970661525938,
51	1326	2495	290	1036	3.763197660446167	290,204,143,129,97,123,91,76,29,27,33,24,5,14,10,2,7,3,3,5,1,4,3,3,	32.0	0.4840899097187512	460	2.8826087	101	5	2.8826087	501	2.6467066	41	2556	1	15854	3.6569023	0.9461356380094874	0.9060719434861715	1	0.9060719434861715,
52	1328	2521	290	1038	3.7966866493225098	290,192,151,125,111,116,90,73,32,27,31,27,7,8,15,7,5,5,2,5,1,5,1,2,	32.0	0.48780276897221453	455	2.9186814	98	5	2.9186814	492	2.699187	43	2556	1	16188	3.7767322	0.9483706952829857	0.9187747160267871	1	0.9187747160267871,
53	1332	2551	287	1045	3.8303303718566895	287,193,155,123,106,119,93,70,37,28,25,23,10,16,18,3,4,5,3,2,8,2,2,	28.0	0.49452028083994054	455	2.9274726	90	5	2.9274726	495	2.6909091	45	2556	1	16536	3.8671536	0.9527597036142801	0.9144952955782015	1	0.9144952955782015,
54	1338	2564	291	1047	3.8325860500335693	291,195,151,123,118,108,91,70,37,34,21,27,7,14,15,10,6,1,4,8,5,2,	21.0	0.49312960850032683	460	2.9086957	70	5	2.9086957	500	2.676	45	2556	1	16864	3.837248	0.9574618320146203	0.9070736873936723	1	0.9070736873936723,
55	1339	2595	291	1048	3.8760268688201904	291,185,157,140,102,107,83,77,41,30,25,24,10,17,15,8,5,2,3,6,6,4,1,	20.0	0.5040956666759274	461	2.9045553	50	64	2.9045553	500	2.678	46	2556	1	17211	3.833498	0.9602316593716241	0.9035918340071504	1	0.9035918340071504,
56	1341	2586	293	1048	3.856823205947876	293,187,150,135,116,111,74,77,41,40,15,24,19,8,16,6,9,1,6,5,4,2,2,	20.0	0.5033959625313407	462	2.9025974	50	64	2.9025974	499	2.6873748	47	2556	1	17575	3.8991375	0.9607817452413474	0.9159906935375143	1	0.9159906935375143,
57	1345	2626	290	1055	3.904832601547241	290,184,156,128,134,94,80,66,45,46,17,23,20,9,17,6,7,5,7,5,4,1,0,1,	19.0	0.5066189035758144	455	2.956044	49	2	2.956044	501	2.6846306	48	2556	1	17766	3.8704448	0.961203478716843	0.9131121267261759	1	0.9131121267261759,
58	1350	2645	290	1060	3.918518543243408	290,170,170,128,128,116,79,47,58,41,20,21,20,8,15,8,4,5,13,3,5,0,0,1,	20.0	0.5184400562257235	454	2.9735682	50	2	2.9735682	503	2.6838965	49	2556	1	17948	3.8942034	0.960772152758172	0.9113816059833963	1	0.9113816059833963,
59	1350	2667	285	1065	3.951111078262329	285,177,155,134,136,115,75,53,56,37,21,23,16,12,15,6,9,4,8,6,5,1,1,	20.0	0.5111725416539661	447	3.0201342	54	2	3.0201342	487	2.772074	51	2556	1	18439	4.038829	0.9597042776852006	0.9281603438490333	1	0.9281603438490333,
60	1354	2727	285	1069	4.028065204620361	285,171,156,139,126,122,79,54,50,36,25,28,13,11,13,13,6,2,6,5,3,6,4,1,	23.0	0.5119983164662013	445	3.0426967	57	5	3.0426967	483	2.8033125	54	2556	1	18643	4.207855	0.9565349640941365	0.915255289127495	1	0.915255289127495,
61	1355	2747	288	1067	4.054612636566162	288,170,159,129,125,139,73,54,53,23,25,33,9,9,18,13,7,1,5,2,5,2,7,5,1,	23.0	0.5132836456772111	449	3.0178173	55	5	3.0178173	480	2.8229167	52	2556	1	19033	4.1976104	0.9534494326736139	0.9181467316034199	1	0.9181467316034199,
62	1356	2777	276	1080	4.095870018005371	276,185,157,130,116,125,87,61,51,20,25,33,18,7,11,21,5,6,3,2,1,5,5,3,3,	28.0	0.5084803371071117	440	3.081818	70	5	3.081818	473	2.8668077	54	2556	1	19200	4.247783	0.9522074751330073	0.9205008371015104	1	0.9205008371015104,
63	1362	2807	276	1086	4.121879577636719	276,195,148,142,102,124,89,65,47,24,19,38,15,11,12,17,10,1,7,4,2,3,5,2,4,	18.0	0.5094887985117096	443	3.0744922	55	2	3.0744922	480	2.8375	54	2556	1	19545	4.230648	0.9517815720762227	0.9142524877688225	1	0.9142524877688225,
64	1366	2824	277	1089	4.134699821472168	277,199,148,130,109,131,85,65,47,23,28,28,17,19,7,17,3,3,7,5,1,0,8,4,1,4,	19.0	0.5044736021752897	443	3.0835214	56	2	3.0835214	480	2.8458333	56	2556	1	19757	4.2917094	0.9497909460793362	0.9139233146281571	1	0.9139233146281571,
65	1370	2813	277	1093	4.106569290161133	277,195,165,112,115,124,96,70,47,18,29,29,19,16,7,16,3,6,6,2,3,1,7,4,0,3,	18.0	0.5102954820180836	450	3.0444446	56	2	3.0444446	480	2.8541667	57	2556	1	20164	4.380587	0.9536228437139103	0.9237496065004184	1	0.9237496065004184,
66	1368	2816	279	1089	4.116959095001221	279,187,169,110,113,116,100,81,43,17,28,34,19,17,4,14,4,7,6,5,5,2,2,4,2,	17.0	0.5138562496881047	448	3.0535715	57	2	3.0535715	474	2.886076	57	2556	1	20415	4.4791856	0.954134602192021	0.9284366576139601	1	0.9284366576139601,
