	step	com_id	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	x	x	y	y	avg_speed	avg_speed	avg_speed	avg_speed	speed	speed	speed	speed	congested	range	num_stops_count
78	0	78	1	4.0		4	4	0	0.0	0	0	1838.79	1838.79	4406.5	4406.5	-1.0		-1.0	-1.0	56.28		56.28	56.28	0	0.0	0.0
79	0	79	1	5.0		5	5	0	0.0	0	0	2936.97	2936.97	223.5	223.5	-1.0		-1.0	-1.0	54.08		54.08	54.08	0	0.0	0.0
80	0	80	1	15.0		15	15	1	1.0	1	1	1523.92	1523.92	3733.5	3733.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
81	0	81	1	21.0		21	21	1	1.0	1	1	2901.77	2901.77	2203.5	2203.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
82	0	82	1	35.0		35	35	1	1.0	1	1	2413.5	2413.5	2661.21	2661.21	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
83	0	83	1	15.0		15	15	0	0.0	0	0	1326.5	1326.5	2333.09	2333.09	-1.0		-1.0	-1.0	12.25		12.25	12.25	0	0.0	0.0
84	0	84	1	16.0		16	16	0	0.0	0	0	2785.22	2785.22	3076.5	3076.5	-1.0		-1.0	-1.0	7.71		7.71	7.71	0	0.0	0.0
85	0	85	1	38.0		38	38	0	0.0	0	0	1753.5	1753.5	2920.93	2920.93	-1.0		-1.0	-1.0	5.76		5.76	5.76	0	0.0	0.0
86	0	86	1	17.0		17	17	0	0.0	0	0	1533.5	1533.5	2090.76	2090.76	-1.0		-1.0	-1.0	13.92		13.92	13.92	0	0.0	0.0
87	0	87	1	17.0		17	17	1	1.0	1	1	3523.5	3523.5	3269.4	3269.4	-1.0		-1.0	-1.0	0.14		0.14	0.14	1	0.0	0.0
88	0	88	1	24.0		24	24	0	0.0	0	0	1999.21	1999.21	2206.5	2206.5	-1.0		-1.0	-1.0	8.07		8.07	8.07	0	0.0	0.0
89	0	89	1	25.0		25	25	0	0.0	0	0	3306.5	3306.5	2043.88	2043.88	-1.0		-1.0	-1.0	8.38		8.38	8.38	0	0.0	0.0
90	0	90	1	6.0		6	6	0	0.0	0	0	4146.09	4146.09	2426.5	2426.5	-1.0		-1.0	-1.0	40.26		40.26	40.26	0	0.0	0.0
91	0	91	1	19.0		19	19	0	0.0	0	0	2203.5	2203.5	3247.66	3247.66	-1.0		-1.0	-1.0	34.25		34.25	34.25	0	0.0	0.0
92	0	92	1	18.0		18	18	0	0.0	0	0	2099.48	2099.48	1536.5	1536.5	-1.0		-1.0	-1.0	1.99		1.99	1.99	0	0.0	0.0
93	0	93	1	28.0		28	28	1	1.0	1	1	2866.5	2866.5	1691.14	1691.14	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
94	0	94	1	4.0		4	4	0	0.0	0	0	753.6	753.6	4173.5	4173.5	-1.0		-1.0	-1.0	51.03		51.03	51.03	0	0.0	0.0
95	0	95	1	26.0		26	26	0	0.0	0	0	2416.5	2416.5	2015.88	2015.88	-1.0		-1.0	-1.0	2.51		2.51	2.51	0	0.0	0.0
96	0	96	1	37.0		37	37	1	1.0	1	1	1756.5	1756.5	2936.87	2936.87	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
97	0	97	1	22.0		22	22	1	1.0	1	1	2872.32	2872.32	3086.5	3086.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
98	0	98	1	21.0		21	21	1	1.0	1	1	1756.5	1756.5	3370.86	3370.86	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
99	0	99	1	3.0		3	3	1	1.0	1	1	672.56	672.56	3746.5	3746.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
100	0	100	1	12.0		12	12	0	0.0	0	0	2286.05	2286.05	666.5	666.5	-1.0		-1.0	-1.0	49.95		49.95	49.95	0	0.0	0.0
101	0	101	1	5.0		5	5	0	0.0	0	0	446.5	446.5	3285.21	3285.21	-1.0		-1.0	-1.0	5.94		5.94	5.94	0	0.0	0.0
102	0	102	1	15.0		15	15	0	0.0	0	0	2465.81	2465.81	446.5	446.5	-1.0		-1.0	-1.0	16.39		16.39	16.39	0	0.0	0.0
103	0	103	1	8.0		8	8	1	1.0	1	1	2652.39	2652.39	3746.5	3746.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
104	0	104	1	7.0		7	7	0	0.0	0	0	443.5	443.5	2591.31	2591.31	-1.0		-1.0	-1.0	18.97		18.97	18.97	0	0.0	0.0
105	0	105	1	16.0		16	16	0	0.0	0	0	1428.59	1428.59	1093.5	1093.5	-1.0		-1.0	-1.0	15.28		15.28	15.28	0	0.0	0.0
106	0	106	1	10.0		10	10	0	0.0	0	0	1096.5	1096.5	2040.71	2040.71	-1.0		-1.0	-1.0	6.31		6.31	6.31	0	0.0	0.0
107	0	107	1	15.0		15	15	1	1.0	1	1	1992.85	1992.85	666.5	666.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
108	0	108	1	9.0		9	9	0	0.0	0	0	223.5	223.5	1480.78	1480.78	-1.0		-1.0	-1.0	22.87		22.87	22.87	0	0.0	0.0
109	0	109	1	4.0		4	4	0	0.0	0	0	216.5	216.5	1922.8	1922.8	-1.0		-1.0	-1.0	46.94		46.94	46.94	0	0.0	0.0
110	0	110	1	13.0		13	13	0	0.0	0	0	653.5	653.5	2703.59	2703.59	-1.0		-1.0	-1.0	52.35		52.35	52.35	0	0.0	0.0
111	0	111	1	9.0		9	9	0	0.0	0	0	3956.5	3956.5	3610.42	3610.42	-1.0		-1.0	-1.0	50.72		50.72	50.72	0	0.0	0.0
112	0	112	1	7.0		7	7	1	1.0	1	1	2882.83	2882.83	223.5	223.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
