step	node_id	x	y	degree	neighbors	cc_id	cc_size	com_id	com_score	com_size
0	_h6_155	4746.37	15423.98	0		93	1	532	1.0	1
0	_h6_154	21799.21	11782.16	0		94	1	529	1.0	1
0	_h6_157	15016.95	13692.68	3	_h6_113,_h6_147,_h6_71,	95	7	209	1.0	4
0	_h6_113	15007.25	13691.74	3	_h6_157,_h6_71,_h6_147,	95	7	209	0.95	4
0	_h6_147	15057.24	13742.58	4	_h6_157,_h6_71,_h6_113,_h6_32,	95	7	209	0.95	4
0	_h6_71	15021.88	13703.12	3	_h6_157,_h6_113,_h6_147,	95	7	209	0.95	4
0	_h6_156	19568.9	23465.62	0		96	1	481	1.0	1
0	_h6_28	43354.48	31716.73	3	_h6_139,_h6_101,_h6_76,	97	4	126	0.95	4
0	_h6_139	43375.27	31725.59	3	_h6_28,_h6_101,_h6_76,	97	4	126	0.95	4
0	_h6_101	43414.62	31730.53	3	_h6_28,_h6_139,_h6_76,	97	4	126	1.0	4
0	_h6_76	43425.99	31741.25	3	_h6_28,_h6_101,_h6_139,	97	4	126	0.95	4
0	_h6_29	15331.7	14089.35	1	_h5_4852,	98	3	159	0.95	3
0	_h5_4852	15299.39	14047.19	2	_h6_29,_h5_4864,	98	3	159	1.0	3
0	_h6_24	7549.95	24871.45	0		99	1	376	1.0	1
0	_h6_25	44104.57	31016.3	2	_h6_33,_h6_52,	100	4	201	1.0	1
0	_h6_33	44158.31	31063.76	3	_h6_25,_h6_80,_h6_52,	100	4	11	0.95	3
0	_h6_52	44142.34	31051.46	3	_h6_25,_h6_80,_h6_33,	100	4	11	0.95	3
0	_h6_26	14833.82	13459.99	3	_h6_51,_h6_141,_h6_56,	101	13	258	0.95	5
0	_h6_51	14806.38	13422.72	3	_h6_26,_h6_56,_h6_133,	101	13	258	1.0	5
0	_h6_141	14878.72	13523.68	3	_h6_26,_h6_20,_h6_56,	101	13	258	0.8999999999999999	5
0	_h6_56	14859.1	13495.86	3	_h6_26,_h6_141,_h6_51,	101	13	258	0.95	5
0	_h6_27	8375.71	26384.65	0		102	1	10	1.0	1
0	_h6_20	14927.39	13588.15	1	_h6_141,	101	13	225	1.0	1
0	_h6_21	30597.76	32678.39	0		103	1	485	1.0	1
0	_h6_22	44070.51	32169.1	0		104	1	389	1.0	1
0	_h6_23	18153.89	27824.92	1	_h6_48,	105	2	388	1.0	2
0	_h6_48	18180.92	27877.06	1	_h6_23,	105	2	388	0.95	2
0	_h5_4795	13779.48	25310.68	0		106	1	399	1.0	1
0	_h5_4794	12409.34	19575.86	1	_h5_4780,	107	2	452	0.95	2
0	_h5_4780	12363.06	19564.62	1	_h5_4794,	107	2	452	1.0	2
0	_h5_4796	42549.96	30467.03	0		108	1	410	1.0	1
0	_h5_4658	41014.16	30517.12	0		109	1	510	1.0	1
0	_h5_4793	16477.02	15036.19	0		110	1	416	1.0	1
0	_h5_4792	41524.91	31072.05	1	_h5_4697,	111	4	88	1.0	1
0	_h5_4697	41517.69	30994.9	3	_h5_4792,_h5_4737,_h5_4717,	111	4	216	0.95	3
0	_h5_4654	13942.95	20217.4	1	_h5_4608,	112	3	16	1.0	3
0	_h5_4608	14019.56	20233.74	2	_h5_4654,_h5_4421,	112	3	16	0.95	3
0	_h5_4655	14675.77	24259.21	0		113	1	520	1.0	1
0	_h5_4656	19593.48	17509.81	1	_h5_4623,	114	2	162	1.0	2
0	_h5_4623	19529.08	17480.57	1	_h5_4656,	114	2	162	0.95	2
0	_h5_4657	13064.02	25143.54	0		115	1	332	1.0	1
0	_h5_4650	13369.97	33326.03	0		116	1	516	1.0	1
0	_h5_4651	19677.38	17744.67	1	_h5_4625,	117	2	108	0.95	2
0	_h5_4625	19693.46	17786.86	1	_h5_4651,	117	2	108	1.0	2
0	_h5_4652	21145.22	16201.92	0		118	1	81	1.0	1
0	_h5_4653	15977.07	28602.84	1	_h5_4705,	119	2	174	1.0	2
0	_h5_4705	15999.79	28602.33	1	_h5_4653,	119	2	174	0.95	2
0	_h6_11	12451.07	13248.0	0		120	1	222	1.0	1
0	_h5_4579	29217.04	18046.18	0		121	1	386	1.0	1
0	_h5_4578	19750.12	18839.8	0		122	1	212	1.0	1
0	_h6_10	14949.65	14619.01	1	_h5_4690,	123	2	428	1.0	2
0	_h5_4690	14986.83	14576.78	1	_h6_10,	123	2	428	0.95	2
0	_h5_4575	37778.57	24955.57	0		124	1	265	1.0	1
0	_h5_4574	14273.1	16059.93	0		125	1	318	1.0	1
0	_h5_4577	27477.31	28843.16	0		126	1	120	1.0	1
0	_h5_4576	25500.37	28118.42	0		127	1	527	1.0	1
0	_h5_4571	37216.74	27806.32	0		128	1	164	1.0	1
0	_h5_4570	32109.41	21131.89	0		129	1	463	1.0	1
0	_h5_4573	20445.15	11268.78	0		130	1	149	1.0	1
0	_h5_4572	19655.35	19905.75	0		131	1	4	1.0	1
0	_h5_4474	24318.61	18313.31	0		132	1	473	1.0	1
0	_h5_4475	15630.11	17975.66	0		133	1	397	1.0	1
0	_h5_4476	19075.35	21459.63	0		134	1	86	1.0	1
0	_h5_4470	33375.13	26647.56	1	_h5_4419,	53	3	355	0.8999999999999999	3
0	_h5_4471	19104.75	21821.33	0		135	1	186	1.0	1
0	_h5_4472	25707.3	19902.42	0		136	1	390	1.0	1
0	_h5_4473	40698.29	25645.0	0		137	1	77	1.0	1
0	_h5_4773	22125.56	14976.5	0		138	1	427	1.0	1
