step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities
29	1240	2042	281	959	3.293548345565796	281,200,132,119,124,128,80,49,38,25,11,24,9,7,1,6,4,2,	22.0	0.4707463943920302	444	2.7927928	48	12	2.7927928	434	2.857143	40	61	1	8773	4.91149	0,282,64,26,7,6,5,5,6,4,1,1,3,0,4,4,1,2,2,2,2,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,	0.9656517730979507	0.9501931044538738	1	0.9501931044538738,
30	1240	2037	286	954	3.2854838371276855	286,208,119,119,135,114,83,48,40,19,13,26,10,5,3,2,7,3,	18.0	0.46059266950633165	449	2.7616928	48	12	2.7616928	436	2.8440366	42	61	1	8950	4.930644	0,286,64,23,8,7,5,5,4,4,2,1,3,0,4,5,2,1,1,2,0,1,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,	0.9646305257498179	0.9481934482086308	1	0.9481934482086308,
31	1245	2070	294	951	3.325301170349121	294,195,130,108,140,110,89,55,35,16,13,24,12,8,1,2,2,8,3,	18.0	0.47074077837011935	455	2.7362638	49	60	2.7362638	443	2.8103838	44	61	1	9095	4.9243307	0,294,66,21,8,8,3,4,5,3,2,2,1,4,2,5,1,1,0,3,1,1,1,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,	0.9612691077971506	0.9472285234194501	1	0.9472285234194501,
32	1248	2053	294	954	3.2900640964508057	294,198,131,111,141,113,83,58,33,16,10,27,8,9,2,2,3,6,3,	22.0	0.4750760569977197	459	2.7189543	64	13	2.7189543	445	2.8044944	43	61	1	9584	4.8920765	0,295,67,21,9,7,3,3,5,4,1,4,2,1,2,6,1,1,1,1,0,2,1,1,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,	0.9598299709429317	0.9415705432915237	1	0.9415705432915237,
33	1252	2066	293	959	3.3003194332122803	293,205,132,115,129,113,85,58,33,17,9,23,16,6,3,1,6,6,2,	21.0	0.4656357683901846	459	2.7276688	64	13	2.7276688	444	2.81982	45	61	1	9812	5.0347743	0,294,66,20,11,6,5,4,5,3,2,1,3,3,3,3,0,2,0,3,0,2,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,	0.9623203875215631	0.9465943093781299	1	0.9465943093781299,
34	1254	2081	285	969	3.318979263305664	285,216,131,112,126,122,84,53,34,22,4,21,19,7,2,1,6,3,5,1,	22.0	0.4665910850941653	456	2.75	51	12	2.75	438	2.8630137	47	61	1	9955	5.1716046	0,286,68,18,13,6,6,2,6,4,3,1,1,2,2,5,1,1,0,3,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,	0.9656374774538458	0.9470315739692847	1	0.9470315739692847,
35	1264	2121	288	976	3.3560125827789307	288,216,124,118,131,118,78,59,38,21,7,19,22,8,1,1,6,2,3,4,	22.0	0.4681716716123303	459	2.7538126	51	12	2.7538126	441	2.866213	47	61	1	10367	5.2303977	0,289,66,19,14,6,5,3,7,5,0,2,1,1,4,3,3,1,1,1,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,	0.9655333688551759	0.9490986277855926	1	0.9490986277855926,
36	1267	2145	283	984	3.385951042175293	283,212,130,115,136,122,69,69,35,22,8,19,20,10,1,1,6,3,5,1,	20.0	0.4807568624200515	457	2.772429	50	12	2.772429	437	2.8993134	48	61	1	10754	5.3160586	0,284,66,22,13,5,4,5,4,7,0,2,0,2,5,2,3,1,1,0,1,0,1,2,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,	0.9675235409501148	0.948195347775767	1	0.948195347775767,
37	1269	2144	281	988	3.3790385723114014	281,207,136,126,131,128,65,64,35,21,8,18,23,6,4,3,4,4,0,5,	17.0	0.4809133394126331	452	2.807522	37	33	2.807522	434	2.923963	49	61	1	10923	5.4324512	0,281,64,26,13,4,3,4,5,7,1,2,1,0,4,2,3,0,1,1,3,0,0,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,	0.9673981712241048	0.9411735849089449	1	0.9411735849089449,
38	1275	2158	290	985	3.3850979804992676	290,199,133,134,134,103,90,61,27,29,9,18,21,7,7,0,4,5,0,4,	19.0	0.48066195409101964	458	2.7838428	47	13	2.7838428	441	2.8911564	49	61	1	11102	5.4757266	0,291,63,24,12,5,4,4,6,5,1,3,0,2,2,2,3,0,1,0,1,1,1,2,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,	0.9673147569961889	0.9447344879625442	1	0.9447344879625442,
39	1279	2179	290	989	3.4073495864868164	290,201,130,143,127,101,89,64,23,33,10,23,17,8,4,1,5,4,4,0,2,	16.0	0.48495526259470795	460	2.7804348	38	35	2.7804348	440	2.9068182	50	61	1	11421	5.5665736	0,290,62,25,13,6,3,4,4,6,2,2,0,3,1,3,0,2,1,0,0,2,0,1,1,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,	0.9691070485701335	0.9490937420296071	1	0.9490937420296071,
40	1281	2209	288	993	3.4488680362701416	288,202,133,138,115,116,87,58,28,31,16,26,14,6,4,5,5,2,5,2,	16.0	0.4836912260440942	456	2.8092105	39	2	2.8092105	439	2.9179955	51	61	1	11896	5.667952	0,289,63,27,12,6,2,3,4,2,5,3,0,4,1,2,0,1,2,0,0,1,1,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,	0.9684001884549437	0.9476355114197027	1	0.9476355114197027,
41	1279	2209	291	988	3.454261064529419	291,192,148,126,121,113,76,69,28,30,14,28,14,7,1,6,3,5,7,	19.0	0.4850152663057967	458	2.7925763	44	5	2.7925763	439	2.9134398	51	61	1	12174	5.622182	0,292,61,24,10,9,4,3,4,3,4,2,0,2,2,1,2,1,1,0,1,1,2,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,	0.9663959590801137	0.9464903545949018	1	0.9464903545949018,
42	1283	2225	285	998	3.468433380126953	285,201,148,124,119,109,82,70,26,36,11,26,16,9,4,3,5,2,7,	19.0	0.4803016704740604	453	2.8322296	48	13	2.8322296	434	2.956221	52	61	1	12343	5.6105657	0,286,58,26,13,5,4,5,5,3,4,2,0,2,2,1,1,1,2,0,1,1,1,3,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,	0.9627531877288211	0.9491121828052006	1	0.9491121828052006,
43	1288	2260	284	1004	3.5093166828155518	284,198,149,125,118,105,88,74,26,36,14,21,18,8,6,4,5,4,4,1,	27.0	0.4813320966291709	451	2.8558757	79	14	2.8558757	435	2.9609196	53	61	1	12761	5.60331	0,286,59,24,12,9,3,4,4,3,6,2,1,2,3,0,2,0,1,0,1,1,2,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,	0.95473098911426	0.9450818388284118	1	0.9450818388284118,
44	1292	2276	280	1012	3.5232198238372803	280,205,142,127,118,119,83,68,29,31,17,22,17,11,6,5,2,4,2,4,	33.0	0.48152676753994506	449	2.8775055	96	5	2.8775055	433	2.9838338	53	61	1	12982	5.5542126	0,281,61,23,13,8,3,2,5,5,7,2,2,2,3,1,1,0,1,0,1,2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,	0.9543054135612401	0.9459174746186235	1	0.9459174746186235,
45	1295	2286	283	1012	3.5305018424987793	283,204,142,128,120,118,75,73,35,25,18,23,16,4,12,7,3,2,3,2,2,	30.0	0.4843549303124716	453	2.8587196	96	5	2.8587196	432	2.9976852	50	61	1	13289	5.5719295	0,283,59,19,15,10,3,2,4,6,7,2,0,1,3,1,2,0,2,0,2,1,0,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,	0.9555022813749342	0.9433990534647742	1	0.9433990534647742,
46	1302	2327	290	1012	3.574500799179077	290,200,143,117,127,125,69,71,38,27,22,22,11,8,11,1,6,4,2,3,3,2,	32.0	0.4936632229440865	463	2.812095	96	5	2.812095	437	2.979405	49	61	1	13416	5.6314187	0,290,58,20,13,10,2,4,6,4,5,3,0,1,3,0,3,0,1,1,2,1,0,0,1,2,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,	0.9548812182024887	0.9495631429331751	1	0.9495631429331751,
47	1303	2330	291	1012	3.576362133026123	291,196,145,122,133,114,78,63,31,33,23,23,6,15,8,3,2,7,3,1,5,1,	34.0	0.4981809617102896	464	2.8081896	100	5	2.8081896	440	2.9613636	49	61	1	13709	5.6882453	0,292,62,18,12,12,0,4,6,5,5,2,0,1,3,0,3,0,1,1,2,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,	0.9536495422645489	0.9497072150896134	1	0.9497072150896134,
48	1305	2361	293	1012	3.6183907985687256	293,192,144,134,113,133,65,66,31,35,23,24,3,15,9,5,2,2,5,3,2,3,3,	22.0	0.4965006835934906	462	2.8246753	75	15	2.8246753	440	2.965909	50	61	1	14195	5.765835	0,294,60,18,12,11,2,4,5,5,5,2,0,2,2,0,2,1,1,1,2,1,0,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,	0.9563493024531619	0.9455861081555953	1	0.9455861081555953,
49	1316	2405	297	1019	3.655015230178833	297,191,153,116,108,138,76,68,37,31,24,21,6,15,7,5,5,6,2,3,2,0,5,	16.0	0.49423510664964965	465	2.8301075	47	2	2.8301075	441	2.984127	51	61	1	14484	5.907793	0,298,56,20,11,10,3,2,8,4,5,2,2,1,1,0,2,0,1,1,2,1,1,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,	0.961119289767936	0.9436909418614199	1	0.9436909418614199,
