step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities
21	1207	1911	291	916	3.1665287017822266	291,192,151,114,110,92,77,45,44,32,17,21,11,5,4,1,	26.0	0.4659187172028934	456	2.6469297	74	5	2.6469297	451	2.676275	35	40	1	6289	4.0761466	0,292,59,27,10,8,11,3,8,8,4,3,1,3,1,1,2,3,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,	0.9609895723374068	0.9438926800442833	1	0.9438926800442833,
22	1212	1922	297	915	3.171617269515991	297,191,137,123,108,101,74,52,39,33,10,27,8,7,3,2,	31.0	0.4642803428694516	458	2.6462882	84	5	2.6462882	455	2.6637363	35	40	1	6592	4.1341896	0,299,59,23,11,10,8,4,8,7,3,5,3,1,1,1,2,1,1,2,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,1,	0.956617120780143	0.9392465087420856	1	0.9392465087420856,
23	1214	1932	302	912	3.1828665733337402	302,185,135,117,115,107,71,48,44,34,11,27,5,7,5,1,	31.0	0.4673172836681896	463	2.6220303	84	5	2.6220303	457	2.656455	36	29	1	6721	4.2003193	0,303,59,23,10,13,3,5,7,7,4,3,4,1,2,1,2,1,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,1,	0.957601408553336	0.9446205939842836	1	0.9446205939842836,
24	1215	1944	307	908	3.200000047683716	307,178,129,131,103,109,83,43,36,38,13,20,12,6,4,3,	17.0	0.4755373022039687	465	2.612903	45	64	2.612903	459	2.6470587	37	29	1	7265	4.2438817	0,307,57,24,11,11,2,7,6,8,3,2,5,2,1,1,2,1,0,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,	0.9639097402157556	0.9441864489661139	1	0.9441864489661139,
25	1222	1977	298	924	3.2356791496276855	298,188,125,135,111,99,94,42,36,31,16,19,8,5,8,7,	13.0	0.47566763115044597	461	2.6507592	41	86	2.6507592	455	2.6857142	37	29	1	7464	4.252508	0,300,59,21,14,11,2,4,11,7,3,4,4,1,1,2,1,0,0,2,0,2,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,	0.9672027507023762	0.9447169254724738	1	0.9447169254724738,
26	1224	1972	297	927	3.222222328186035	297,193,117,134,111,117,87,46,34,25,15,21,7,7,6,7,	13.0	0.47372111820641194	460	2.6608696	41	86	2.6608696	454	2.6960351	37	29	1	7849	4.3113008	0,297,61,24,10,12,2,5,12,5,3,4,4,1,1,2,0,1,0,2,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,	0.9663925792741401	0.9465730161407799	1	0.9465730161407799,
27	1228	2002	288	940	3.2605862617492676	288,198,125,122,115,124,81,49,39,26,13,20,8,5,5,6,4,	17.0	0.4761643396415381	452	2.716814	41	1	2.716814	449	2.7349665	37	29	1	8033	4.394462	0,289,67,21,11,10,1,7,11,7,1,4,5,1,1,2,0,1,0,1,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,1,0,1,	0.9664476382758125	0.9436609843702762	1	0.9436609843702762,
28	1237	2029	291	946	3.280517339706421	291,195,132,111,128,120,85,54,27,30,13,22,7,8,1,5,5,3,	18.0	0.47649292430903545	456	2.7127192	47	12	2.7127192	450	2.748889	37	29	1	8282	4.4538274	0,291,64,26,8,8,3,8,9,7,2,4,4,1,2,2,0,1,0,1,0,1,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,1,	0.9672460024567359	0.9450377121681393	1	0.9450377121681393,
29	1240	2042	281	959	3.293548345565796	281,200,132,119,124,128,80,49,38,25,11,24,9,7,1,6,4,2,	22.0	0.4707463943920302	444	2.7927928	48	12	2.7927928	440	2.8181818	37	29	1	8787	4.6064863	0,282,63,26,9,7,4,9,6,6,2,5,4,0,2,2,1,2,0,0,2,0,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,1,	0.9656517730979507	0.9493208728359696	1	0.9493208728359696,
30	1240	2037	286	954	3.2854838371276855	286,208,119,119,135,114,83,48,40,19,13,26,10,5,3,2,7,3,	18.0	0.46059266950633165	449	2.7616928	48	12	2.7616928	443	2.799097	37	29	1	8962	4.61581	0,287,64,22,10,8,3,9,6,6,4,3,4,0,1,2,2,2,0,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,1,	0.9646305257498179	0.9488024564698867	1	0.9488024564698867,
31	1245	2070	294	951	3.325301170349121	294,195,130,108,140,110,89,55,35,16,13,24,12,8,1,2,2,8,3,	18.0	0.47074077837011935	455	2.7362638	49	60	2.7362638	449	2.7728286	37	29	1	9107	4.6321926	0,294,66,21,8,8,3,8,8,5,4,3,2,2,2,1,2,2,0,0,0,0,2,0,2,2,0,1,1,0,0,0,0,0,0,1,0,1,	0.9612691077971506	0.9458154215967715	1	0.9458154215967715,
32	1248	2053	294	954	3.2900640964508057	294,198,131,111,141,113,83,58,33,16,10,27,8,9,2,2,3,6,3,	22.0	0.4750760569977197	459	2.7189543	64	13	2.7189543	450	2.7733333	36	29	1	9597	4.6758823	0,294,68,21,8,8,2,8,8,4,4,4,2,3,1,2,1,2,0,0,0,1,1,0,2,0,0,1,2,1,0,0,0,0,0,1,1,	0.9598299709429317	0.9448105477614775	1	0.9448105477614775,
33	1252	2066	293	959	3.3003194332122803	293,205,132,115,129,113,85,58,33,17,9,23,16,6,3,1,6,6,2,	21.0	0.4656357683901846	459	2.7276688	64	13	2.7276688	449	2.7884188	34	29	1	9825	4.733736	0,295,66,20,10,6,3,7,9,5,4,2,2,2,4,1,1,2,0,0,0,0,1,2,1,0,0,0,3,0,0,0,0,0,3,	0.9623203875215631	0.9421543095280698	1	0.9421543095280698,
34	1254	2081	285	969	3.318979263305664	285,216,131,112,126,122,84,53,34,22,4,21,19,7,2,1,6,3,5,1,	22.0	0.4665910850941653	456	2.75	51	12	2.75	442	2.837104	37	8	1	9968	4.842244	0,288,65,20,11,6,4,5,10,6,3,1,3,1,4,1,2,2,0,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,1,1,0,1,	0.9656374774538458	0.9435033936711664	1	0.9435033936711664,
35	1264	2121	288	976	3.3560125827789307	288,216,124,118,131,118,78,59,38,21,7,19,22,8,1,1,6,2,3,4,	22.0	0.4681716716123303	459	2.7538126	51	12	2.7538126	441	2.866213	39	8	1	10381	4.937589	0,288,63,19,12,8,5,6,6,5,3,3,0,4,2,2,2,3,0,0,0,0,1,2,1,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,	0.9655333688551759	0.9495848857466087	1	0.9495848857466087,
36	1267	2145	283	984	3.385951042175293	283,212,130,115,136,122,69,69,35,22,8,19,20,10,1,1,6,3,5,1,	20.0	0.4807568624200515	457	2.772429	50	12	2.772429	437	2.8993134	38	8	1	10768	4.969072	0,284,63,20,10,8,5,6,5,7,2,3,2,2,3,1,4,2,0,0,0,0,1,2,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1,	0.9675235409501148	0.947627974201401	1	0.947627974201401,
37	1269	2144	281	988	3.3790385723114014	281,207,136,126,131,128,65,64,35,21,8,18,23,6,4,3,4,4,0,5,	17.0	0.4809133394126331	452	2.807522	37	33	2.807522	434	2.923963	38	8	1	10937	5.015102	0,281,62,21,12,5,6,5,6,7,2,3,1,2,3,2,3,3,0,0,1,0,1,1,1,0,0,1,0,2,0,0,0,0,0,0,2,0,1,	0.9673981712241048	0.945581495217477	1	0.945581495217477,
38	1275	2158	290	985	3.3850979804992676	290,199,133,134,134,103,90,61,27,29,9,18,21,7,7,0,4,5,0,4,	19.0	0.48066195409101964	458	2.7838428	47	13	2.7838428	441	2.8911564	38	8	1	11116	5.0269217	0,290,61,21,12,4,6,6,5,6,3,3,0,3,2,3,3,2,2,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,	0.9673147569961889	0.9449386982592088	1	0.9449386982592088,
39	1279	2179	290	989	3.4073495864868164	290,201,130,143,127,101,89,64,23,33,10,23,17,8,4,1,5,4,4,0,2,	16.0	0.48495526259470795	460	2.7804348	38	35	2.7804348	441	2.9002268	38	8	1	11431	5.0420074	0,290,61,21,11,4,5,7,7,5,3,2,3,2,3,1,2,2,2,1,1,0,0,0,1,0,2,0,0,0,1,0,1,0,1,0,0,0,2,	0.9691070485701335	0.9517420974250207	1	0.9517420974250207,
40	1281	2209	288	993	3.4488680362701416	288,202,133,138,115,116,87,58,28,31,16,26,14,6,4,5,5,2,5,2,	16.0	0.4836912260440942	456	2.8092105	39	2	2.8092105	440	2.9113636	39	43	1	11906	5.0567493	0,288,64,21,9,4,4,6,8,4,4,4,2,2,2,2,2,2,2,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,	0.9684001884549437	0.9515655838978007	1	0.9515655838978007,
41	1279	2209	291	988	3.454261064529419	291,192,148,126,121,113,76,69,28,30,14,28,14,7,1,6,3,5,7,	19.0	0.4850152663057967	458	2.7925763	44	5	2.7925763	441	2.9002268	41	43	1	12184	5.088224	0,291,63,20,8,5,4,6,8,3,7,3,1,1,4,1,2,4,0,1,0,1,0,1,0,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,	0.9663959590801137	0.9490768966250058	1	0.9490768966250058,
42	1283	2225	285	998	3.468433380126953	285,201,148,124,119,109,82,70,26,36,11,26,16,9,4,3,5,2,7,	19.0	0.4803016704740604	453	2.8322296	48	13	2.8322296	436	2.9426606	42	43	1	12353	5.147383	0,285,60,23,9,4,4,8,8,2,7,3,1,1,2,3,3,3,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,	0.9627531877288211	0.9462435551066781	1	0.9462435551066781,
43	1288	2260	284	1004	3.5093166828155518	284,198,149,125,118,105,88,74,26,36,14,21,18,8,6,4,5,4,4,1,	27.0	0.4813320966291709	451	2.8558757	79	14	2.8558757	437	2.9473684	43	43	1	12771	5.166447	0,286,60,22,9,6,4,7,8,2,7,3,0,1,2,3,4,2,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,	0.95473098911426	0.9443727973999525	1	0.9443727973999525,
44	1292	2276	280	1012	3.5232198238372803	280,205,142,127,118,119,83,68,29,31,17,22,17,11,6,5,2,4,2,4,	33.0	0.48152676753994506	449	2.8775055	96	5	2.8775055	433	2.9838338	43	43	1	12992	5.1950135	0,281,61,20,10,7,6,4,7,2,9,3,0,0,3,2,5,2,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,	0.9543054135612401	0.943438601313933	1	0.943438601313933,
45	1295	2286	283	1012	3.5305018424987793	283,204,142,128,120,118,75,73,35,25,18,23,16,4,12,7,3,2,3,2,2,	30.0	0.4843549303124716	453	2.8587196	96	5	2.8587196	433	2.9907622	44	43	1	13299	5.2219186	0,283,61,17,10,9,4,4,8,2,8,4,0,0,3,1,5,2,2,0,1,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,	0.9555022813749342	0.9381897035399018	1	0.9381897035399018,
46	1302	2327	290	1012	3.574500799179077	290,200,143,117,127,125,69,71,38,27,22,22,11,8,11,1,6,4,2,3,3,2,	32.0	0.4936632229440865	463	2.812095	96	5	2.812095	438	2.9726028	44	43	1	13426	5.2200265	0,290,61,17,8,9,3,4,9,2,6,6,0,0,2,1,4,3,2,1,2,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,	0.9548812182024887	0.9346672874196492	1	0.9346672874196492,
