	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
57	43	13	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
58	44	1	18.587857142857143	0.7612861442365467	15.99	19.18	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7658.0	8126.48	15527.48	16236.9	18.785714285714285	0.4389272637432199	17.78	19.35	0	850.1471912557258	850.1471912557258
59	45	1	18.56714285714286	0.7013989161386327	16.15	18.92	14	7.142857142857143	1.7913099142223294	4	9	0	0.0	0	0	7646.77	8110.65	15502.26	16216.9	18.685000000000002	0.35563053429496644	18.02	19.22	0	851.9947089037574	851.9947089037574
60	46	1	18.612142857142857	0.6180388159508698	16.5	19.01	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7639.25	8098.59	15485.3	16202.23	18.833571428571428	0.4204870279322294	18.18	19.43	0	851.4586663485202	851.4586663485202
61	47	1	18.632857142857144	0.4742675092493603	17.02	18.88	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7631.42	8086.55	15468.44	16188.34	18.720714285714287	0.3080825135654937	18.24	19.06	0	851.7037788456732	851.7037788456732
62	48	1	18.66	0.3902661813528027	17.35	18.97	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7623.58	8074.3	15451.08	16174.23	18.76571428571429	0.4125104061290595	18.19	19.43	0	852.1117537623804	852.1117537623804
63	49	1	18.663571428571426	0.3314213479699424	17.58	18.94	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7615.96	8062.23	15433.75	16160.14	18.607857142857146	0.44977222562645286	17.68	19.43	0	852.5252752851371	852.5252752851371
64	50	1	18.701428571428572	0.29524063569763737	17.75	18.96	14	7.857142857142857	1.5118578920369088	5	9	0	0.0	0	0	7608.03	8050.21	15416.27	16145.48	18.775	0.43432972232214834	17.55	19.2	0	852.8014871586464	852.8014871586464
65	50	14	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
66	50	15	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
67	51	1	18.778750000000002	0.3215561122623544	17.85	19.42	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7600.48	8126.17	15398.59	16236.77	18.83125	0.32653483734509164	18.17	19.39	0	989.39157490854	989.39157490854
68	52	1	18.778125	0.25216975102768735	18.02	19.2	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7594.19	8109.95	15380.77	16216.92	18.72125	0.48142669916265096	17.66	19.38	0	982.4231268145104	982.4231268145104
69	53	1	18.743124999999996	0.3108422697555133	17.7	19.14	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7587.65	8097.63	15362.69	16202.91	18.451875	1.3936676732038062	13.39	19.29	0	982.8780437063386	982.8780437063386
70	54	1	18.70375	0.425297934786103	17.18	19.03	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7581.04	8085.55	15345.26	16188.53	18.433125	1.5970419270221696	12.64	19.42	0	982.6671018203474	982.6671018203474
71	55	1	18.678749999999994	0.5455379607936681	16.71	19.08	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7574.61	8073.01	15327.64	16174.22	18.448125	1.4158305866169127	13.27	19.3	0	982.3951630581253	982.3951630581253
72	56	1	18.631249999999998	0.6537570904650432	16.24	19.0	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7568.25	8061.16	15310.24	16159.54	18.384375000000002	1.252325669837204	13.89	19.44	0	981.9728907154218	981.9728907154218
73	57	1	18.5825	0.8025667158145237	15.62	18.99	16	8.0	1.4605934866804429	5	9	0	0.0	0	0	7562.03	8049.79	15292.73	16144.8	18.278750000000002	1.5029654021300252	12.79	19.34	0	981.8009485124771	981.8009485124771
74	57	16	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
75	57	17	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
