	step	com_id	timeMeanSpeed_mean	timeMeanSpeed_std	timeMeanSpeed_amin	timeMeanSpeed_amax	com_size	degree_mean	degree_std	degree_amin	degree_amax	num_stops	num_stops_mean	num_stops_amin	num_stops_amax	y_amin	y_amax	x_amin	x_amax	speed_mean	speed_std	speed_amin	speed_amax	congested	range	num_stops_count
36	23	1	18.808750000000003	0.1427722962316612	18.67	19.11	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7861.24	8110.11	15895.01	16216.99	19.003750000000004	0.2570123676843032	18.69	19.42	0	406.94888782253685	406.94888782253685
37	24	1	18.7925	0.16542153945084254	18.66	19.19	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7851.47	8097.49	15879.5	16203.11	18.840000000000003	0.5292042543829403	18.22	19.42	0	406.50863766960737	406.50863766960737
38	25	1	18.792499999999997	0.15135105832871867	18.59	19.12	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7841.55	8085.27	15863.66	16188.48	18.935	0.24213337528849935	18.52	19.24	0	406.08800868777195	406.08800868777195
39	26	1	18.79	0.17695842933945197	18.56	19.17	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7831.84	8072.66	15848.16	16174.49	18.587500000000002	0.4140307096959393	18.25	19.43	0	405.5681709651286	405.5681709651286
40	27	1	18.78375	0.17129235659673164	18.57	19.15	8	6.0	1.0690449676496976	5	7	0	0.0	0	0	7821.8	8060.31	15832.13	16160.3	18.59875	0.3121555244243089	18.26	19.01	0	405.6877728007096	405.6877728007096
41	28	1	18.802500000000002	0.1662828914831414	18.64	19.17	8	7.0	1.5118578920369088	5	9	0	0.0	0	0	7811.72	8048.25	15816.04	16145.91	18.9125	0.5119081948943065	18.15	19.38	0	405.9072034344786	405.9072034344786
42	28	8	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
43	28	9	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
44	29	1	18.845	0.16541194367761997	18.63	19.19	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7801.87	8126.88	15800.29	16236.89	18.755	0.4387165625118852	18.27	19.36	0	544.2895002661717	544.2895002661717
45	30	1	18.856	0.15938771735768884	18.67	19.14	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7791.73	8110.67	15784.07	16216.59	18.831	0.32122854446292337	18.15	19.28	0	537.3976870065601	537.3976870065601
46	31	1	18.808	0.16314955647422238	18.57	19.12	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7781.8	8098.73	15768.26	16202.45	18.695999999999998	0.4327226466098204	18.18	19.42	0	537.5551887946019	537.5551887946019
47	32	1	18.829	0.18489937203186504	18.63	19.2	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7771.15	8086.18	15748.91	16187.79	18.891000000000002	0.42919692449961	18.15	19.33	0	540.2402755256232	540.2402755256232
48	33	1	18.789	0.17463931083483242	18.59	19.07	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7762.43	8074.15	15732.72	16173.43	18.622	0.39165744670008884	18.14	19.33	0	539.8098392026588	539.8098392026588
49	34	1	18.770000000000003	0.13080944580205195	18.59	19.0	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7753.66	8062.21	15716.45	16159.5	18.695999999999998	0.36981076241799765	18.16	19.23	0	539.9040701828422	539.9040701828422
50	35	1	18.743	0.17262998323342224	18.39	18.95	10	6.6	1.577621275493231	5	9	0	0.0	0	0	7744.57	8050.11	15699.59	16144.49	18.633000000000003	0.8636749645811407	16.41	19.27	0	539.7135366099313	539.7135366099313
51	36	1	18.685	0.24208584336047076	18.04	18.87	10	7.4	1.577621275493231	5	9	0	0.0	0	0	7735.7	8039.14	15683.13	16129.91	18.083000000000002	1.1016860815232976	15.01	18.78	0	540.0816623437615	540.0816623437615
52	36	10	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
53	36	11	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
54	37	1	18.705000000000002	0.36092054023489983	17.6	19.02	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7726.52	8126.87	15666.11	16236.78	18.378333333333334	1.4758099984467035	13.82	19.41	0	697.0971032790193	697.0971032790193
55	38	1	18.640833333333333	0.43073844274759365	17.3	18.96	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7717.33	8110.74	15649.05	16216.81	18.435	1.0928153798997977	15.14	19.31	0	690.7407948717088	690.7407948717088
56	39	1	18.617499999999996	0.5205787862825517	17.0	18.96	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7708.44	8098.54	15632.53	16202.41	18.514166666666664	1.0643090659572576	15.35	19.37	0	690.6093138671092	690.6093138671092
57	40	1	18.565	0.5974110812497678	16.69	18.87	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7699.61	8086.12	15615.39	16188.32	18.35	0.8872736587178448	15.81	19.41	0	691.114147590686	691.114147590686
58	41	1	18.55333333333333	0.6341828433408748	16.55	18.81	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7691.27	8074.06	15598.64	16174.31	18.63666666666667	0.46247031026727	18.0	19.41	0	691.3205718044271	691.3205718044271
59	42	1	18.508333333333336	0.7162634524623748	16.25	18.86	12	7.0	1.7056057308448835	5	9	0	0.0	0	0	7683.09	8061.62	15582.2	16160.5	18.445	0.8814811914664261	15.92	19.26	0	691.1699146374926	691.1699146374926
60	43	1	18.500833333333333	0.7658679963798238	16.09	18.92	12	7.666666666666667	1.556997888323046	5	9	0	0.0	0	0	7675.05	8049.47	15565.62	16145.83	18.561666666666667	0.7043092468166903	16.65	19.36	0	690.5316650958151	690.5316650958151
61	43	12	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
62	43	13	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
63	44	1	18.587857142857143	0.7612861442365467	15.99	19.18	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7658.0	8126.48	15527.48	16236.9	18.785714285714285	0.4389272637432199	17.78	19.35	0	850.1471912557258	850.1471912557258
64	45	1	18.56714285714286	0.7013989161386327	16.15	18.92	14	7.142857142857143	1.7913099142223294	4	9	0	0.0	0	0	7646.77	8110.65	15502.26	16216.9	18.685000000000002	0.35563053429496644	18.02	19.22	0	851.9947089037574	851.9947089037574
65	46	1	18.612142857142857	0.6180388159508698	16.5	19.01	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7639.25	8098.59	15485.3	16202.23	18.833571428571428	0.4204870279322294	18.18	19.43	0	851.4586663485202	851.4586663485202
66	47	1	18.632857142857144	0.4742675092493603	17.02	18.88	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7631.42	8086.55	15468.44	16188.34	18.720714285714287	0.3080825135654937	18.24	19.06	0	851.7037788456732	851.7037788456732
67	48	1	18.66	0.3902661813528027	17.35	18.97	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7623.58	8074.3	15451.08	16174.23	18.76571428571429	0.4125104061290595	18.19	19.43	0	852.1117537623804	852.1117537623804
68	49	1	18.663571428571426	0.3314213479699424	17.58	18.94	14	7.285714285714286	1.7288756430151329	5	9	0	0.0	0	0	7615.96	8062.23	15433.75	16160.14	18.607857142857146	0.44977222562645286	17.68	19.43	0	852.5252752851371	852.5252752851371
69	50	1	18.701428571428572	0.29524063569763737	17.75	18.96	14	7.857142857142857	1.5118578920369088	5	9	0	0.0	0	0	7608.03	8050.21	15416.27	16145.48	18.775	0.43432972232214834	17.55	19.2	0	852.8014871586464	852.8014871586464
70	50	14	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
71	50	15	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
72	51	1	18.778750000000002	0.3215561122623544	17.85	19.42	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7600.48	8126.17	15398.59	16236.77	18.83125	0.32653483734509164	18.17	19.39	0	989.39157490854	989.39157490854
73	52	1	18.778125	0.25216975102768735	18.02	19.2	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7594.19	8109.95	15380.77	16216.92	18.72125	0.48142669916265096	17.66	19.38	0	982.4231268145104	982.4231268145104
74	53	1	18.743124999999996	0.3108422697555133	17.7	19.14	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7587.65	8097.63	15362.69	16202.91	18.451875	1.3936676732038062	13.39	19.29	0	982.8780437063386	982.8780437063386
75	54	1	18.70375	0.425297934786103	17.18	19.03	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7581.04	8085.55	15345.26	16188.53	18.433125	1.5970419270221696	12.64	19.42	0	982.6671018203474	982.6671018203474
76	55	1	18.678749999999994	0.5455379607936681	16.71	19.08	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7574.61	8073.01	15327.64	16174.22	18.448125	1.4158305866169127	13.27	19.3	0	982.3951630581253	982.3951630581253
77	56	1	18.631249999999998	0.6537570904650432	16.24	19.0	16	7.5	1.7126976771553504	5	9	0	0.0	0	0	7568.25	8061.16	15310.24	16159.54	18.384375000000002	1.252325669837204	13.89	19.44	0	981.9728907154218	981.9728907154218
78	57	1	18.5825	0.8025667158145237	15.62	18.99	16	8.0	1.4605934866804429	5	9	0	0.0	0	0	7562.03	8049.79	15292.73	16144.8	18.278750000000002	1.5029654021300252	12.79	19.34	0	981.8009485124771	981.8009485124771
79	57	16	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8138.77	8138.77	16248.69	16248.69	19.44		19.44	19.44	0	0.0	0.0
80	57	17	19.44		19.44	19.44	1	5.0		5	5	0	0.0	0	0	8136.32	8136.32	16250.9	16250.9	19.44		19.44	19.44	0	0.0	0.0
